Altitude_yours,Latitude,Longitude,B_r_yours,B_phi_yours,B_theta_yours,B_magnitude_yours,Altitude_ref,B_r_ref,B_phi_ref,B_theta_ref,B_magnitude_ref,B_r_error_percent,B_phi_error_percent,B_theta_error_percent,B_magnitude_error_percent,angular_error_deg
400.0,-89.9,-179.9,42927.48,7314.28,10705.23,44842.71,400.0,43242.910520800026,7267.381973554398,10820.090466179066,45164.57138904077,-0.7294386918019751,0.6453221616293273,-1.0615481130965803,-0.7126413007848722,0.135324517170218
400.0,-89.9,-169.9,42921.67,9083.74,9281.83,44843.46,400.0,43237.11614249072,9041.45704191242,9392.139045139233,45159.80993763379,-0.729572577068154,0.46765646169167585,-1.1744826669311457,-0.7005121103713147,0.147322164088302
400.0,-89.9,-159.9,42914.02,10576.71,7575.78,44842.75,400.0,43229.4498870723,10540.314157887346,7678.1703803480505,45153.49222901269,-0.7296643558876942,0.34530130285935023,-1.333525765592732,-0.6881909098783497,0.1546133807294347
400.0,-89.9,-149.9,42904.75,11748.01,5639.06,44840.08,400.0,43220.14527269937,11718.606095285582,5730.403085925965,45145.81050038742,-0.7297413525784483,0.25091640145022986,-1.5940080402075993,-0.6772068039066373,0.15704248579960545
400.0,-89.9,-139.9,42894.16,12562.27,3530.6,44835.09,400.0,43209.485250217804,12540.76184785936,3608.084681607353,45136.99811001131,-0.7297593303688124,0.1715059451855573,-2.14752946355003,-0.6688705998468872,0.154652626190028
400.0,-89.9,-129.9,42882.55,12995.01,1314.42,44827.57,400.0,43197.79357842959,12982.039747593333,1375.6837273562808,45127.32245292666,-0.7297677782019922,0.09990920270500227,-4.453329361830442,-0.6642371774645791,0.14773099532688977
400.0,-89.9,-119.9,42870.28,13033.29,-942.22,44817.58,400.0,43185.42500436195,13029.250641904708,-899.0668252381721,45117.07688063565,-0.7297485305056433,0.031002228802797117,4.79977389338064,-0.6638215534840933,0.1366132837695618
400.0,-89.9,-109.9,42857.7,12676.13,-3170.93,44805.38,400.0,43172.75454464472,12681.132535930403,-3147.215916762636,45106.5718647815,-0.7297531694877729,-0.03944865268326429,0.753494004369335,-0.6677338851739907,0.12175555057499127
400.0,-89.9,-99.9,42845.24,11934.47,-5304.21,44791.52,400.0,43160.166186400005,11948.368386321834,-5300.669540105692,45096.125664033774,-0.729668613971283,-0.11632037004939556,0.06679269227255379,-0.6754586110192486,0.10359422246080982
400.0,-89.9,-89.9,42833.23,10830.89,-7277.46,44776.72,400.0,43148.04133955595,10853.248916697406,-7294.234082499617,45086.05476572686,-0.7296074857222901,-0.2060112770749089,-0.22996358918425291,-0.6860985449585356,0.08267339829417789
400.0,-89.9,-79.9,42822.06,9398.86,-9030.98,44761.88,400.0,43136.74737726176,9428.992179351673,-9067.568789880257,45076.66437933473,-0.72951113932999,-0.3195694595829491,-0.4035126805003342,-0.6983311291308563,0.05964086954247286
400.0,-89.9,-69.9,42812.06,7681.75,-10511.68,44747.93,400.0,43126.626597268354,7718.740918134005,-10566.991376671329,45068.23925755406,-0.7294022790279663,-0.47923513078539587,-0.5234354292503649,-0.7107205935505223,0.03566421476587524
400.0,-89.9,-59.9,42803.53,5731.54,-11674.71,44735.8,400.0,43117.98592498669,5774.267432024546,-11747.08520510331,45061.03511260973,-0.7292917752089816,-0.7399628182715664,-0.6161120298324685,-0.7217657379528652,0.016485177244272602
400.0,-89.9,-49.9,42796.74,3607.25,-12484.79,44726.32,400.0,43111.08765874506,3654.423462656411,-12572.062048232207,45055.27088043102,-0.7291573370483007,-1.2908592323375858,-0.6941744949825251,-0.7301052107843199,0.026886625061621944
400.0,-89.9,-39.9,42791.89,1373.2,-12917.31,44720.11,400.0,43106.1415298936,1423.379514660247,-13016.841105173733,45051.12206366577,-0.7290179977617993,-3.525378449206114,-0.7646333266999275,-0.7347476566687593,0.0512325191362758
400.0,-89.9,-29.9,42789.12,-902.97,-12959.02,44717.57,400.0,43103.29831527464,-851.2961428149993,-13067.812535923202,45048.71535629358,-0.7288962273295438,6.070021298831417,-0.8325229308587981,-0.7350827957568284,0.07607528112985144
400.0,-89.9,-19.9,42788.54,-3152.26,-12608.48,44718.78,400.0,43102.645197713886,-3100.663858791376,-12723.262208278436,45048.124718192536,-0.7287376361081077,1.6640353020638736,-0.9021444846413165,-0.7310952903207798,0.09916174002340944
